hsa-miR-328-5p,hsa_circ_0002172
hsa-miR-328-5p,hsa_circ_0089776
hsa-miR-3689b-3p,hsa_circ_0041089
hsa-miR-3689b-3p,hsa_circ_0041099
hsa-miR-3689b-3p,hsa_circ_0041116
hsa-miR-3689c,hsa_circ_0041089
hsa-miR-3689c,hsa_circ_0041099
hsa-miR-3689c,hsa_circ_0041116
hsa-miR-30b-3p,hsa_circ_0041089
hsa-miR-30b-3p,hsa_circ_0041099
hsa-miR-30b-3p,hsa_circ_0041116
hsa-miR-3689a-3p,hsa_circ_0041089
hsa-miR-3689a-3p,hsa_circ_0041099
hsa-miR-3689a-3p,hsa_circ_0041116
hsa-miR-8485,hsa_circ_0089792
hsa-miR-6851-5p,hsa_circ_0041089
hsa-miR-6851-5p,hsa_circ_0041099
hsa-miR-6851-5p,hsa_circ_0041116
hsa-miR-4778-3p,hsa_circ_0013871
hsa-miR-4778-3p,hsa_circ_0013870
hsa-miR-4300,hsa_circ_0041089
hsa-miR-4300,hsa_circ_0041099
hsa-miR-4300,hsa_circ_0041116
hsa-miR-3192-5p,hsa_circ_0041089
hsa-miR-3192-5p,hsa_circ_0041099
hsa-miR-3192-5p,hsa_circ_0041116
hsa-miR-6780a-5p,hsa_circ_0041089
hsa-miR-6780a-5p,hsa_circ_0041099
hsa-miR-6780a-5p,hsa_circ_0041116
hsa-miR-6756-5p,hsa_circ_0041089
hsa-miR-6756-5p,hsa_circ_0041099
hsa-miR-6756-5p,hsa_circ_0041116
hsa-miR-6726-5p,hsa_circ_0041089
hsa-miR-6726-5p,hsa_circ_0041099
hsa-miR-6726-5p,hsa_circ_0041116
hsa-miR-4728-5p,hsa_circ_0037995
hsa-miR-4728-5p,hsa_circ_0037996
hsa-miR-328-5p,hsa_circ_0052415
hsa-miR-650,hsa_circ_0052415
hsa-miR-4728-5p,hsa_circ_0037997
hsa-miR-1277-5p,hsa_circ_0057112
hsa-miR-1249-5p,hsa_circ_0002172
hsa-miR-103a-3p,hsa_circ_0052415
