298	2213
670	843
129	1841
383	1387
595	690
351	2164
746	2039
129	854
70	2283
638	526
783	1889
308	1597
97	1105
533	72
731	2099
679	1345
941	915
399	832
439	1529
475	814
584	1190
57	870
335	129
32	587
238	1972
859	1919
454	1565
644	1103
403	2275
437	1971
382	574
825	1331
560	2242
89	1843
208	866
802	1102
173	1214
731	2115
87	1675
757	934
218	1083
168	216
244	1154
620	537
267	218
471	214
301	506
2	1640
25	420
368	1333
945	1413
309	2266
704	1074
388	1817
37	81
22	1512
408	2299
601	111
889	2129
116	1584
74	59
315	144
203	315
852	2114
165	1836
84	1552
889	1523
220	689
869	1238
60	1130
497	2231
846	1065
268	1752
866	841
133	2171
212	1999
910	2326
745	532
309	2041
323	1119
634	1195
817	1271
588	215
616	2067
423	1417
281	247
390	1733
309	266
273	894
448	1570
112	1091
733	152
885	1459
490	860
433	894
667	382
692	431
906	2329
179	1418
811	1378
589	1832
49	899
38	361
518	1424
848	949
785	946
55	206
823	987
209	121
206	2115
141	879
287	1678
381	1380
61	1032
520	794
631	74
73	1535
586	233
552	550
476	2249
174	881
762	850
784	1618
513	632
759	863
891	721
91	1631
371	181
788	893
897	2339
847	1503
229	1114
806	678
676	53
688	2133
76	2160
84	2295
457	1124
83	1391
203	677
87	1943
109	1366
548	695
86	692
251	835
470	1573
866	1805
804	243
740	2179
704	1766
158	1888
557	463
847	335
272	1722
223	2202
81	813
735	234
348	766
625	1965
144	1932
630	549
461	363
228	1162
625	751
680	1995
124	1090
9	531
360	1009
284	522
111	1651
681	2280
285	1427
75	557
400	1905
934	855
819	206
280	360
538	870
213	1958
823	531
264	1835
589	193
479	1969
884	1677
171	207
857	99
217	589
468	420
873	1518
308	1105
154	1344
831	669
482	2295
438	239
328	1555
39	1246
425	2322
757	2240
82	1125
644	1051
387	836
15	403
927	1599
101	2080
754	1117
257	2152
690	575
199	626
205	2240
394	2157
193	1202
819	1292
139	828
937	66
253	879
208	2311
634	1192
186	1893
127	377
412	1722
780	1384
469	2314
217	731
839	1094
758	637
466	1729
709	160
909	1715
292	1957
272	582
257	841
6	810
741	2056
733	365
418	2144
818	217
128	86
917	1904
706	153
41	1332
167	1214
94	2078
642	1582
752	2304
765	1598
211	784
377	2199
658	185
625	1600
889	253
76	420
643	906
554	1172
749	125
851	951
694	1259
933	654
767	952
925	1828
528	446
138	724
885	647
933	584
126	87
342	2244
661	1193
105	767
91	2065
226	51
316	248
762	44
697	71
886	6
712	1427
199	1683
271	830
357	2177
927	1772
78	2317
304	1802
837	1225
842	131
378	280
650	766
767	318
524	1495
781	163
152	1272
35	852
5	900
727	185
283	1686
645	1792
907	748
166	882
850	1624
12	309
291	1441
335	802
594	1643
802	1490
462	731
825	656
179	919
532	694
388	1780
620	1854
224	1162
728	555
4	1155
360	1774
456	1279
456	36
231	205
230	901
87	1976
350	1003
450	1462
464	1324
795	189
941	1120
141	1012
239	1074
526	2136
116	702
361	2293
22	1107
251	1120
818	1671
770	1119
321	138
781	1318
248	203
460	2180
520	730
165	2190
248	1216
322	1832
106	1188
251	494
281	2339
522	1488
787	1057
578	2205
216	1305
486	953
147	466
622	782
622	1903
256	378
859	1085
552	1507
633	1041
502	935
204	86
842	1913
26	173
894	1015
906	197
394	736
355	1831
407	2170
823	94
931	706
170	1615
421	872
594	2315
89	333
472	323
749	1708
588	1628
834	2197
319	174
38	38
648	301
278	2163
734	1018
632	1006
706	632
661	456
288	274
370	1767
686	100
695	1738
798	1174
898	537
2	102
692	1975
327	1400
875	1725
733	1264
623	140
94	1667
337	2085
831	620
306	915
34	2325
318	1448
747	306
331	407
164	604
443	2176
864	1896
111	39
923	1318
765	469
235	586
887	1236
314	452
364	1610
602	89
595	74
159	678
910	216
173	2005
160	1804
816	1313
165	1723
588	23
427	561
652	1216
143	1887
507	1385
755	777
900	587
666	2016
547	1305
792	2002
340	242
414	1883
570	163
946	822
761	940
189	151
709	2180
373	974
693	151
280	1620
180	785
705	1406
15	1563
268	2277
507	1350
858	1507
620	2252
152	758
299	779
308	1669
138	1511
863	771
921	2192
866	2293
408	2333
517	1635
829	1949
66	2112
471	1406
460	2123
811	1292
403	761
355	1218
390	377
710	2280
570	378
161	781
250	293
315	1945
783	1744
242	1983
140	2165
816	1835
97	1409
326	1635
288	1994
291	373
700	539
363	1359
345	1114
643	2190
361	776
373	161
725	668
673	418
33	996
634	248
61	1459
678	909
632	536
604	2082
912	2318
281	1607
172	250
394	1234
131	1641
928	1097
690	395
735	813
697	2099
768	96
929	121
336	1636
312	1944
7	1447
385	2113
14	1205
4	1525
435	1012
592	1857
270	82
855	918
567	849
861	255
957	1121
291	1747
587	348
761	2333
276	469
755	2112
821	45
925	1197
898	144
622	690
130	1890
302	1430
831	2089
29	1145
258	255
371	180
233	1240
627	2154
203	2312
190	1763
830	163
622	409
875	1484
801	1380
418	2135
471	1131
74	648
100	281
77	1764
194	2127
340	1709
45	378
755	1447
423	2109
808	1121
184	91
839	636
327	1544
397	294
595	820
713	2299
642	305
714	1023
591	1522
684	497
286	1899
954	404
263	1403
590	88
1	2345
373	1236
356	560
316	317
80	95
155	626
871	1976
665	582
492	2204
778	2328
370	1346
899	273
336	798
450	1651
126	875
373	1525
609	1619
325	397
727	690
814	1539
550	1198
172	1186
552	283
785	2119
535	68
85	1762
390	684
598	1806
42	735
433	1886
686	1452
522	2258
377	1678
877	2104
873	826
337	1647
3	1611
199	484
728	1794
762	1275
299	2151
892	1197
413	2038
473	726
116	826
115	1304
572	166
417	1025
359	2092
192	1543
2	2193
826	2160
538	243
792	602
145	1732
289	1045
893	1857
625	1125
583	457
524	668
165	1310
889	2084
869	52
224	1196
8	1308
85	2142
115	124
232	940
322	1668
203	477
895	1558
685	600
497	1242
651	1292
428	249
74	1279
540	1159
385	502
793	32
477	1843
891	1069
127	1157
16	870
950	853
600	1331
930	1299
729	836
936	1363
461	844
341	1036
222	846
549	58
831	157
728	2136
263	1112
790	326
901	1487
560	1971
516	827
591	981
107	2150
576	2175
205	1938
695	1075
213	825
147	141
53	1679
760	463
908	1784
256	2017
393	1164
179	1422
654	1477
840	616
855	714
532	730
732	1507
938	2001
256	1748
447	1446
694	207
240	878
405	1056
932	1615
500	1921
48	1107
794	1896
619	1074
853	579
685	231
216	699
646	1082
123	1737
682	2042
310	977
80	724
695	1230
186	878
891	573
767	1756
908	601
257	1707
386	1527
114	744
783	1880
901	748
49	1964
555	1543
482	220
42	1080
635	453
76	1125
158	129
570	197
790	1256
930	1670
715	389
6	1299
277	1667
345	1967
523	1030
390	2326
772	2297
516	1919
658	818
853	397
570	468
786	2150
14	125
385	986
739	1965
117	506
528	293
366	575
311	1660
794	1465
775	211
363	355
368	1383
803	1273
453	1694
904	539
44	1256
854	1934
179	2256
810	1777
525	2055
24	476
702	1140
1	2286
546	1443
771	353
554	902
81	441
620	1939
105	361
32	1028
478	1143
185	1179
476	1961
769	107
730	433
351	470
810	1053
341	2147
685	1710
828	1041
159	790
27	1896
305	1513
373	1651
376	2094
901	121
349	1899
158	2317
307	1170
374	176
183	225
337	2132
296	419
899	1811
109	1774
196	948
521	534
391	275
913	673
383	1492
180	1947
910	1132
126	278
336	1929
27	1179
608	1042
541	1736
684	88
737	424
814	78
607	597
226	1091
1	433
438	82
149	186
305	829
743	1037
184	415
775	1147
242	1491
266	810
109	1222
601	443
864	856
924	893
409	1581
537	1823
110	748
111	1576
253	588
371	2062
942	297
494	1402
45	549
164	751
418	894
376	446
677	1230
199	2104
364	2285
49	245
535	190
559	904
60	2229
208	1705
336	822
115	2240
814	2081
699	944
242	2227
245	1910
518	1645
93	1795
907	2196
660	1690
233	1567
110	1085
546	2250
298	643
444	2049
613	559
401	539
866	529
731	2104
107	1719
52	599
103	377
179	1648
811	333
575	2152
644	291
826	1568
518	501
66	1510
469	2150
873	1960
756	1442
451	1160
859	1004
927	1650
126	1789
341	1532
331	1118
71	1735
358	814
562	608
290	114
223	461
935	2277
278	1485
951	880
372	2241
618	159
246	756
201	983
30	575
94	1909
634	620
299	1141
666	2274
448	1152
1	555
